,vehicle_measure,count,mean,std,min,25%,50%,75%,max,area_name,area_level,rcat,gdp,gdp_unit,gdp_growth,gdp_ratio,year_label,year,CPIH,CPI,Unemployment (%),average_weekly_earnings,av_weekly_earnings_change,unemployment_pct_change
0,fd2wmv,6102.0,99.717961324156,98.78859563238206,0.0,39.0,77.0,127.0,1447.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
1,fdall_mv,6102.0,11554.632907243527,9679.563914900524,82.0,5141.25,9098.0,15269.25,96689.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
2,fdbus,6102.0,83.03539823008848,76.55763636386908,0.0,34.0,62.0,108.0,1026.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
3,fdcar,6102.0,9335.433956079974,7941.962675310458,49.0,4013.25,7275.0,12380.0,81342.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
4,fdhgv,6102.0,518.9355948869223,570.2487148046916,4.0,174.0,351.0,644.0,8655.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
5,fdhgva3,6102.0,27.402163225172075,34.350567633052485,0.0,6.0,16.0,35.0,364.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
6,fdhgva5,6102.0,75.2581120943953,129.48710016410394,0.0,8.0,29.0,82.0,1551.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
7,fdhgva6,6102.0,85.88151425762045,161.24518410671448,0.0,10.0,35.0,96.0,4053.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
8,fdhgvr2,6102.0,229.844968862668,213.47768671276302,1.0,98.0,176.0,294.0,4458.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
9,fdhgvr3,6102.0,47.764175680104884,43.76963890365535,0.0,19.0,36.0,63.0,547.0,nat,nuts1,PR,1729121.0,million £,1.5,17292.21,2011,2011,3.8,4.5,8.1,455.0,11.0,0.1999999999999993
